,Unnamed: 0,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability,cluster
145,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 418.mid,26.0,49.0,0.0,0.0,0.5079,4.8,8.561,0.09277,0.02305,0
146,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 42.mid,20.0,63.0,0.0,0.05127999999999999,0.5926,5.778,2.661,0.2677,0.025830000000000002,0
147,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 421.mid,22.0,57.0,0.0,0.1034,0.3333,6.474,4.003,0.16699999999999998,0.03486,0
148,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 43.mid,1.0,56.0,0.0,0.3016,0.5263,1.903,4.303,0.1074,0.024130000000000002,2
149,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 44.mid,5.0,58.0,0.0,0.1778,0.4667,3.073,3.0669999999999997,0.135,0.02408,2
150,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 45.mid,17.0,54.0,0.0,0.06667000000000001,0.44,2.468,5.832000000000001,0.09569,0.02893,2
151,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 46.mid,26.0,54.0,0.0,0.2063,0.4242,4.148,4.295,0.1086,0.02387,0
152,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 460.mid,12.0,42.0,0.0,0.07407000000000001,0.3478,4.476,3.733,0.2344,0.03492,0
153,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 465.mid,23.0,60.0,0.0,0.127,0.5,2.9810000000000003,8.539,0.1123,0.02305,2
154,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 468.mid,29.0,61.0,0.0,0.0,0.6614,3.054,8.0,0.125,0.02422,2
155,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 47.mid,12.0,59.0,0.0,0.0,0.5,2.237,5.899,0.09322000000000001,0.02725,2
156,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 470.mid,46.0,55.0,0.0,0.0,0.5039,3.906,8.003,0.1198,0.02422,0
157,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 473.mid,8.0,43.0,0.0,0.3226,0.2353,5.542000000000001,4.0,0.2515,0.02804,0
158,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 474.mid,10.0,58.0,0.0,0.2105,0.6923,3.6,1.251,0.1729,0.0271,0
159,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 475.mid,0.0,57.0,0.0,0.0,0.0,1.0,2.5810000000000004,0.125,0.02611,2
160,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 478.mid,4.0,42.0,0.0,0.68,0.68,3.238,3.25,0.3077,0.035,2
161,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 479.mid,29.0,49.0,0.0,0.0,0.6,5.0,3.0,0.3333,0.02725,0
162,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 48.mid,3.0,53.0,0.0,0.2308,0.2941,3.408,3.554,0.132,0.03173,0
163,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 480.mid,17.0,40.0,0.0,0.09302,0.4884,4.938,2.875,0.3476,0.02876,0
164,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 481.mid,15.0,54.0,0.0,0.1538,0.6154,3.3,3.5,0.2857,0.026889999999999997,2
165,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 482.mid,10.0,55.0,0.0,0.4615,0.6667,3.444,1.75,0.5714,0.03853,0
166,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 483.mid,8.0,54.0,0.0,0.03175,0.3333,1.0,4.01,0.2083,0.03481,2
167,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 484.mid,8.0,72.0,0.0,0.4324,0.54,3.029,5.894,0.07313,0.0177,2
168,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 485.mid,40.0,53.0,0.0,0.0,0.4921,6.6129999999999995,8.001,0.1198,0.02421,0
169,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 488.mid,12.0,63.0,0.0,0.1842,0.5152,4.0,2.457,0.3385,0.022430000000000002,0
170,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 49.mid,7.0,57.0,0.0,0.0,0.4688,2.278,4.148,0.141,0.02544,2
171,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 490.mid,12.0,50.0,0.0,0.032260000000000004,0.5455,2.522,2.0,0.5,0.038310000000000004,2
172,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 492.mid,17.0,65.0,0.0,0.09412000000000001,0.5325,3.758,2.7739999999999996,0.3766,0.02058,0
173,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 494.mid,64.0,56.0,0.0,0.0,0.4094,5.396,8.0,0.12,0.02422,0
174,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 496.mid,48.0,45.0,0.0,0.0,0.4074,2.895,8.005,0.1198,0.02424,2
175,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 50.mid,16.0,48.0,0.0,0.02532,0.3898,2.117,5.925,0.1127,0.02334,2
176,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 500.mid,15.0,58.0,0.0,0.058820000000000004,0.09091,3.037,4.375,0.1412,0.025240000000000002,2
177,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 502.mid,24.0,65.0,0.0,0.2571,0.2812,6.105,1.125,0.375,0.03687,0
178,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 503.mid,24.0,65.0,0.0,0.2571,0.2812,6.105,1.125,0.375,0.03687,0
179,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 504.mid,15.0,56.0,0.0,0.0,0.4615,2.0,2.9989999999999997,0.2344,0.027360000000000002,2
180,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 505.mid,7.0,53.0,0.0,0.025639999999999996,0.5556,1.125,2.5,0.125,0.027589999999999996,2
181,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 506.mid,22.0,59.0,0.0,0.0339,0.9091,1.286,7.505,0.1031,0.02425,2
182,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 508.mid,11.0,79.0,0.0,0.0,0.5106,4.927,1.311,0.058589999999999996,0.03965,0
183,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 51.mid,22.0,48.0,0.0,0.2807,0.5814,3.96,4.435,0.1033,0.02349,0
184,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 512.mid,19.0,71.0,0.0,0.2963,0.375,5.095,3.733,0.2741,0.025519999999999998,0
185,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 514.mid,19.0,67.0,0.0,0.4118,0.5714,3.0,5.0089999999999995,0.07812000000000001,0.025509999999999998,2
186,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 515.mid,17.0,71.0,0.0,0.0,0.4375,1.8330000000000002,3.201,0.2837,0.0328,2
187,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 516.mid,17.0,73.0,0.0,0.07692,0.6,2.7680000000000002,6.3020000000000005,0.07364,0.01785,2
188,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 519.mid,8.0,33.0,0.0,0.057139999999999996,0.5,1.433,2.403,0.2825,0.03605,2
189,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 52.mid,17.0,50.0,0.0,0.0122,0.5263,1.7530000000000001,5.542000000000001,0.1021,0.01945,2
190,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 520.mid,34.0,54.0,0.0,0.007873999999999999,0.544,4.053999999999999,8.003,0.12,0.02422,0
191,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 522.mid,9.0,56.0,0.0,0.1163,0.4211,2.541,2.9339999999999997,0.2497,0.034069999999999996,2
192,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 523.mid,12.0,59.0,0.0,0.2632,0.5429,3.8089999999999997,3.867,0.2203,0.03481,0
193,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 524.mid,12.0,65.0,0.0,0.07692,0.4,3.75,2.674,0.1564,0.02324,0
194,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 525.mid,12.0,57.0,0.0,0.3704,0.3519,5.085,3.667,0.2724,0.028339999999999997,0
195,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 526.mid,12.0,58.0,0.0,0.359,0.4333,4.093999999999999,2.693,0.2364,0.036469999999999995,0
196,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 527.mid,12.0,58.0,0.0,0.359,0.4333,4.093999999999999,2.693,0.2364,0.036469999999999995,0
197,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 528.mid,39.0,46.0,0.0,0.003906,0.3881,2.991,8.001,0.1247,0.0222,2
198,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 53.mid,13.0,54.0,0.0,0.2069,0.4483,2.944,3.937,0.1178,0.0245,2
199,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 530.mid,29.0,50.0,0.0,0.0,0.3386,4.724,8.003,0.1198,0.02422,0
200,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 533.mid,17.0,67.0,0.0,0.3968,0.3651,2.964,4.2669999999999995,0.2344,0.03481,2
201,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 534.mid,10.0,67.0,0.0,0.3968,0.3651,2.964,4.2669999999999995,0.2344,0.03481,2
202,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 536.mid,17.0,69.0,0.0,0.3934,0.3443,3.122,4.2669999999999995,0.2344,0.03481,2
203,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 537.mid,7.0,62.0,0.0,0.0,0.5,2.8480000000000003,5.05,0.1045,0.02454,2
204,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 538.mid,49.0,49.0,0.0,0.0,0.3327,3.906,8.001,0.1198,0.02421,0
205,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 54.mid,5.0,57.0,0.0,0.1731,0.6154,2.918,3.54,0.1568,0.02363,2
206,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 540.mid,16.0,35.0,0.0,0.0,0.375,2.75,1.125,0.8863,0.0382,2
207,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 541.mid,16.0,32.0,0.0,0.0,0.5,1.5,3.0,0.2821,0.023540000000000002,2
208,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 55.mid,17.0,56.0,0.0,0.1639,0.6897,3.125,4.167,0.1123,0.026260000000000002,2
209,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 550.mid,41.0,51.0,0.0,0.0,0.3386,3.991,8.003,0.1198,0.02422,0
210,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 552.mid,24.0,49.0,0.0,0.0,0.4039,3.1260000000000003,8.0,0.1211,0.02421,2
211,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 56.mid,6.0,55.0,0.0,0.3774,0.4194,2.25,3.636,0.1107,0.02398,2
212,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 561.mid,39.0,46.0,0.0,0.0,0.3386,4.062,8.003,0.1198,0.02422,0
213,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 569.mid,31.0,44.0,0.0,0.0,0.3333,3.965,8.001,0.1198,0.02421,0
214,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 57.mid,15.0,56.0,0.0,0.1132,0.6522,2.872,3.628,0.1309,0.031689999999999996,2
215,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 577.mid,7.0,60.0,0.0,0.5161,0.4898,2.2880000000000003,4.313,0.0995,0.03482,2
216,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 579.mid,12.0,65.0,0.0,0.07692,0.4,3.75,2.674,0.1564,0.02324,0
217,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 58.mid,8.0,56.0,0.0,0.1481,0.5116,3.373,3.6710000000000003,0.1431,0.02389,0
218,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 580.mid,31.0,54.0,0.0,0.0,0.5053,4.291,8.01,0.1146,0.02422,0
219,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 582.mid,33.0,49.0,0.0,0.0,0.3675,3.917,8.003,0.1198,0.02422,0
220,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 585.mid,29.0,52.0,0.0,0.0,0.3333,4.0889999999999995,8.005,0.1198,0.02424,0
221,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 587.mid,9.0,59.0,0.0,0.1818,0.5455,3.714,0.75,1.3330000000000002,0.07881,1
222,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 588.mid,14.0,56.0,0.0,0.0,0.5263,2.3609999999999998,3.0,0.3333,0.026389999999999997,2
223,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 589.mid,13.0,55.0,0.0,0.3333,0.5556,3.667,0.625,1.6,0.07881,1
224,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 59.mid,10.0,55.0,0.0,0.0,0.3529,2.842,4.234,0.1107,0.02364,2
225,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 590.mid,9.0,44.0,0.0,0.0,0.4667,4.727,1.0,1.0,0.07881,1
226,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 591.mid,0.0,21.0,0.0,0.0,0.0,1.0,6.0,0.08507,0.0249,2
227,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 594.mid,5.0,43.0,0.0,0.1489,0.4667,2.682,6.051,0.07292,0.02179,2
228,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 595.mid,5.0,67.0,0.0,0.1429,0.4667,2.696,6.303,0.07103999999999999,0.020030000000000003,2
229,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 597.mid,10.0,45.0,0.0,0.3684,0.5625,3.4,2.5810000000000004,0.2521,0.03632,0
230,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 598.mid,8.0,82.0,0.0,0.28,0.6429,3.238,3.335,0.04688,0.030189999999999998,2
231,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 599.mid,11.0,71.0,0.0,0.0,0.4524,4.151,3.765,0.2192,0.023880000000000002,0
232,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 60.mid,5.0,56.0,0.0,0.03636,0.375,1.122,3.7439999999999998,0.09652000000000001,0.02231,2
233,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 601.mid,10.0,59.0,0.0,0.0,0.4,2.735,4.881,0.1554,0.0273,2
234,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 602.mid,7.0,68.0,0.0,0.03704,0.5556,2.458,3.509,0.1458,0.03077,2
235,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 603.mid,22.0,79.0,0.0,0.0,0.4667,1.679,4.881,0.1554,0.0273,2
236,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 604.mid,13.0,41.0,0.0,0.08,0.4167,2.211,3.25,0.24600000000000002,0.02852,2
237,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 605.mid,13.0,77.0,0.0,0.06897,0.4167,2.0869999999999997,3.75,0.2201,0.0277,2
238,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 607.mid,12.0,45.0,0.0,0.09091,0.4167,2.214,2.875,0.2695,0.03055,2
239,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 608.mid,15.0,72.0,0.0,0.05127999999999999,0.4483,3.8,5.0,0.1828,0.02738,0
240,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 61.mid,12.0,49.0,0.0,0.02985,0.5135,2.222,4.542,0.1198,0.020059999999999998,2
241,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 610.mid,19.0,68.0,0.0,0.06299,0.3871,5.755,8.003,0.1199,0.02422,0
242,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 611.mid,15.0,67.0,0.0,0.08889,0.5185,3.722,2.892,0.1562,0.03503,0
243,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 613.mid,12.0,43.0,0.0,0.0,0.5714,1.729,4.513,0.1198,0.02737,2
244,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 614.mid,12.0,47.0,0.0,0.0,0.5082,1.943,4.513,0.1198,0.02737,2
245,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 616.mid,13.0,67.0,0.0,0.07272999999999999,0.5,1.66,3.6239999999999997,0.1198,0.027469999999999998,2
246,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 617.mid,23.0,60.0,0.0,0.129,0.7742,4.762,4.085,0.1797,0.02425,0
247,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 618.mid,12.0,71.0,0.0,0.06452000000000001,0.3333,5.0,2.0,0.5072,0.03119,0
248,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 619.mid,15.0,47.0,0.0,0.0,0.7407,3.576,4.655,0.1202,0.01944,0
249,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 62.mid,12.0,54.0,0.0,0.035089999999999996,0.3191,4.28,3.9019999999999997,0.1078,0.026439999999999998,0
250,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 620.mid,15.0,72.0,0.0,0.0,0.7419,4.0,4.596,0.1273,0.01964,0
251,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 622.mid,19.0,58.0,0.0,0.0,0.5161,3.779,4.51,0.1296,0.01975,0
252,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 623.mid,7.0,79.0,0.0,0.129,0.6,4.074,4.018,0.09635,0.02374,0
253,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 624.mid,22.0,49.0,0.0,0.0,0.5161,15.71,2.0,0.5,0.04523,0
254,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 625.mid,36.0,71.0,0.0,0.0,0.5766,1.8,8.045,0.07756,0.02422,2
255,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 626.mid,13.0,70.0,0.0,0.04724,0.3333,1.137,8.013,0.09896,0.02422,2
256,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 627.mid,12.0,69.0,0.0,0.2022,0.3976,5.85,5.636,0.1638,0.014419999999999999,0
257,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 629.mid,10.0,74.0,0.0,0.0,0.3429,3.943,2.764,0.3108,0.02833,0
258,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 63.mid,9.0,53.0,0.0,0.0,0.5098,3.262,4.571000000000001,0.128,0.0273,2
259,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 630.mid,21.0,39.0,0.0,0.0,0.6316,4.8,3.125,0.31,0.02792,0
260,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 631.mid,10.0,74.0,0.0,0.0,0.2222,2.95,3.125,0.2558,0.02792,2
261,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 632.mid,12.0,67.0,0.0,0.0315,0.5039,3.6460000000000004,8.0,0.125,0.02422,0
262,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 634.mid,12.0,67.0,0.0,0.03361,0.4746,3.5410000000000004,7.5,0.125,0.02422,0
263,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 639.mid,17.0,69.0,0.0,0.0,0.493,2.847,8.0,0.08333,0.02071,2
264,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 64.mid,8.0,54.0,0.0,0.06757,0.7241,2.9530000000000003,5.002,0.1109,0.02348,2
265,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 641.mid,7.0,37.0,0.0,0.02105,0.7143,1.0,6.022,0.1094,0.027260000000000003,2
266,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 642.mid,34.0,61.0,0.0,0.01053,0.5158,6.042999999999999,6.329,0.1076,0.021330000000000002,0
267,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 643.mid,15.0,65.0,0.0,0.04,0.4,2.682,3.284,0.09936,0.02713,2
268,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 645.mid,15.0,34.0,0.0,0.047619999999999996,0.4167,1.4809999999999999,3.772,0.2188,0.03481,2
269,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 646.mid,7.0,70.0,0.0,0.1212,0.5833,2.714,2.153,0.125,0.028439999999999997,2
270,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 647.mid,12.0,35.0,0.0,0.0,0.4444,2.984,4.0,0.1107,0.028489999999999998,2
271,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 648.mid,2.0,67.0,0.0,0.0,0.5128,1.9769999999999999,2.875,0.1014,0.0272,2
272,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 649.mid,17.0,34.0,0.0,0.0,0.4444,3.4,4.0,0.1107,0.028489999999999998,0
273,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 65.mid,7.0,65.0,0.0,0.1311,0.2821,3.862,4.167,0.1074,0.0234,0
274,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 650.mid,5.0,68.0,0.0,0.048780000000000004,0.4878,3.135,2.625,0.1032,0.02731,2
275,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 652.mid,3.0,53.0,0.0,0.0,0.4286,1.9,1.73,0.2118,0.03513,2
276,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 653.mid,15.0,60.0,0.0,0.0,0.3043,5.045,3.5,0.2061,0.024980000000000002,0
277,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 657.mid,6.0,51.0,0.0,0.3043,0.4286,2.952,1.548,0.5004,0.03175,2
278,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 658.mid,6.0,74.0,0.0,0.1591,0.4286,2.6430000000000002,2.9189999999999996,0.1725,0.02758,2
279,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 66.mid,8.0,58.0,0.0,0.1207,0.3056,4.22,3.964,0.1286,0.02478,0
280,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 660.mid,7.0,43.0,0.0,0.052629999999999996,0.5714,2.0,2.526,0.225,0.02561,2
281,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 661.mid,7.0,66.0,0.0,0.1,0.6,3.312,2.625,0.2897,0.03617,2
282,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 662.mid,15.0,59.0,0.0,0.0,0.5833,3.8569999999999998,4.295,0.1373,0.027639999999999998,0
283,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 663.mid,15.0,70.0,0.0,0.0,0.3158,4.7410000000000005,4.295,0.1373,0.027639999999999998,0
284,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 666.mid,8.0,54.0,0.0,0.0,0.625,2.103,4.0,0.1849,0.02777,2
285,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 669.mid,9.0,37.0,0.0,0.0,0.4444,1.273,6.013999999999999,0.1302,0.027260000000000003,2
286,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 67.mid,13.0,77.0,0.0,0.06849,0.5192,3.2319999999999998,4.979,0.1269,0.02391,2
287,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 670.mid,15.0,74.0,0.0,0.08889,0.5588,2.824,2.938,0.2436,0.02534,2
288,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 671.mid,29.0,61.0,0.0,0.0,0.3543,2.99,8.013,0.09896,0.02422,2
289,/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 672.mid,17.0,52.0,0.0,0.0,0.6,3.167,4.315,0.08333,0.02461,2
